
# For TESS observing Cycle 1
# Sector  1 observed 2018-Jul-25 to 2018-Aug-22
# Sector  2 observed 2018-Aug-22 to 2018-Sep-20
# Sector  3 observed 2018-Sep-20 to 2018-Oct-18
# Sector  4 observed 2018-Oct-18 to 2018-Nov-15
# Sector  5 observed 2018-Nov-15 to 2018-Dec-11
# Sector  6 observed 2018-Dec-11 to 2019-Jan-07
# Sector  7 observed 2019-Jan-07 to 2019-Feb-02
# Sector  8 observed 2019-Feb-02 to 2019-Feb-28
# Sector  9 observed 2019-Feb-28 to 2019-Mar-26
# Sector 10 observed 2019-Mar-26 to 2019-Apr-22
# Sector 11 observed 2019-Apr-22 to 2019-May-21
# Sector 12 observed 2019-May-21 to 2019-Jun-19
# Sector 13 observed 2019-Jun-19 to 2019-Jul-18
# For TESS observing Cycle 2
# Sector 14 observed 2019-Jul-18 to 2019-Aug-15
# Sector 15 observed 2019-Aug-15 to 2019-Sep-11
# Sector 16 observed 2019-Sep-11 to 2019-Oct-07
# Sector 17 observed 2019-Oct-07 to 2019-Nov-02
# Sector 18 observed 2019-Nov-02 to 2019-Nov-27
# Sector 19 observed 2019-Nov-27 to 2019-Dec-24
# Sector 20 observed 2019-Dec-24 to 2020-Jan-21
# Sector 21 observed 2020-Jan-21 to 2020-Feb-18
# Sector 22 observed 2020-Feb-18 to 2020-Mar-18
# Sector 23 observed 2020-Mar-18 to 2020-Apr-15
# Sector 24 observed 2020-Apr-15 to 2020-May-13
# Sector 25 observed 2020-May-13 to 2020-Jun-08
# Sector 26 observed 2020-Jun-08 to 2020-Jul-04
#
#RA,DEC,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26
27.929800,-16.305300,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
197.169800,-41.634100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
205.421200,-4.022300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
206.697600,-20.850500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
208.501800,-46.526300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
212.534500,-46.257000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
216.863800,-18.399600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
217.547300,-62.863900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
217.279900,-46.747900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
219.234100,-24.052400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
220.167300,-65.431900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
220.333200,3.438300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
